epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,100.314,2.05515,2.05136,2.03186,0.1936,0.53846,0.23084,0.0777,2.37781,2.4632,2.31131,0.00175052,0.00175052,0.00175052
128,101.009,1.96957,2.03815,1.94066,0.29496,0.23077,0.22292,0.03853,2.38942,2.80344,2.35465,0.00174854,0.00174854,0.00174854
129,101.616,2.07622,2.04676,2.05564,0.24624,0.30769,0.21166,0.04653,2.3748,2.73766,2.36437,0.00174656,0.00174656,0.00174656
130,102.338,2.04137,2.07158,1.98212,0.14493,0.23077,0.17501,0.04177,2.32301,2.84862,2.36496,0.00174458,0.00174458,0.00174458
131,103.01,1.91226,1.99941,1.94542,0.24345,0.15385,0.11236,0.03598,2.55156,3.02083,2.57188,0.0017426,0.0017426,0.0017426
132,103.667,1.93003,2.01202,1.92998,0.14595,0.23077,0.08937,0.02458,2.61956,3.11019,2.60383,0.00174062,0.00174062,0.00174062
133,104.329,2.01293,2.01485,2.01934,0.15841,0.23077,0.12682,0.03212,2.6137,3.07884,2.58019,0.00173864,0.00173864,0.00173864
134,105.063,1.96571,1.89207,1.93625,0.18537,0.38462,0.1359,0.03818,2.33875,3.16907,2.38966,0.00173666,0.00173666,0.00173666
135,105.832,1.94766,2.06747,1.95073,0.22199,0.46154,0.13815,0.05141,2.26032,2.94693,2.33019,0.00173468,0.00173468,0.00173468
136,106.517,1.99545,1.9272,1.91371,0.27728,0.30769,0.18667,0.06736,2.35187,2.58179,2.45883,0.0017327,0.0017327,0.0017327
137,107.155,1.98958,2.12797,2.04238,0.27922,0.30769,0.18941,0.05156,2.49941,2.58489,2.51832,0.00173072,0.00173072,0.00173072
138,107.881,1.96049,1.88675,1.92203,0.39679,0.30769,0.20312,0.04441,2.69543,2.71663,2.64697,0.00172874,0.00172874,0.00172874
139,108.601,1.99985,2.00321,1.93334,0.3192,0.23077,0.13404,0.02901,2.73129,2.7664,2.66602,0.00172676,0.00172676,0.00172676
140,109.275,2.00099,2.0146,2.01437,0.08623,0.38462,0.08277,0.01891,2.75538,2.76294,2.75528,0.00172478,0.00172478,0.00172478
141,110.059,2.03877,2.08493,2.02972,0.11575,0.46154,0.08191,0.0171,2.77635,2.73002,2.76488,0.0017228,0.0017228,0.0017228
142,110.791,1.89759,1.93686,1.9029,0.12414,0.30769,0.05686,0.01782,2.76466,2.61812,2.79131,0.00172082,0.00172082,0.00172082
143,111.46,1.97876,2.0124,1.96881,0.08408,0.15385,0.07175,0.02349,2.70848,2.57197,2.8009,0.00171884,0.00171884,0.00171884
144,112.134,1.93161,1.97754,1.90998,0.12133,0.46154,0.11254,0.02673,2.8096,2.41897,2.78575,0.00171686,0.00171686,0.00171686
145,112.815,2.01943,2.20686,2.10156,0.10816,0.32687,0.11584,0.03776,2.7798,2.50313,2.66777,0.00171488,0.00171488,0.00171488
146,113.436,1.96005,2.01955,1.97809,0.11763,0.34915,0.11864,0.03166,2.71357,2.614,2.63065,0.0017129,0.0017129,0.0017129
147,114.265,1.85454,1.84566,1.91273,0.1949,0.38462,0.17623,0.04723,2.69578,2.6423,2.69263,0.00171092,0.00171092,0.00171092
148,115.037,2.01163,1.96886,2.00656,0.13336,0.23077,0.1481,0.04672,2.65917,2.67935,2.70034,0.00170894,0.00170894,0.00170894
149,115.731,1.94588,1.91786,1.9413,0.20244,0.38462,0.17326,0.07674,2.62664,2.57633,2.65264,0.00170696,0.00170696,0.00170696
150,116.428,1.96604,1.94649,1.99813,0.22722,0.53846,0.22666,0.08662,2.62284,2.48589,2.56882,0.00170498,0.00170498,0.00170498
151,117.203,2.01161,2.07227,2.00743,0.1947,0.46154,0.24868,0.08409,2.58993,2.46659,2.51924,0.001703,0.001703,0.001703
152,117.926,1.95799,1.97422,1.9455,0.30727,0.53846,0.19714,0.05364,2.70304,2.50584,2.66777,0.00170102,0.00170102,0.00170102
153,118.615,2.0885,2.01746,2.01655,0.25614,0.23077,0.17367,0.05157,2.63519,2.21958,2.5862,0.00169904,0.00169904,0.00169904
154,119.476,1.87334,1.85457,1.90524,0.33638,0.30769,0.30801,0.11435,2.60505,2.34593,2.54022,0.00169706,0.00169706,0.00169706
155,120.209,2.04035,2.01881,1.96216,0.53136,0.23077,0.29696,0.13345,2.41865,2.25832,2.39517,0.00169508,0.00169508,0.00169508
156,120.99,1.97316,1.90849,1.93985,0.20529,0.57677,0.24121,0.09033,2.25872,2.33391,2.33558,0.0016931,0.0016931,0.0016931
157,121.65,1.96797,2.08481,1.94631,0.50519,0.15385,0.2114,0.05936,2.38886,2.49901,2.45116,0.00169112,0.00169112,0.00169112
158,122.397,1.96948,1.83171,1.92931,0.17388,0.46154,0.17803,0.04264,2.48164,2.93664,2.50543,0.00168914,0.00168914,0.00168914
159,123.143,1.92644,1.87564,1.9055,0.13873,0.30769,0.13212,0.03002,2.5693,3.31965,2.60112,0.00168716,0.00168716,0.00168716
160,124.008,1.98496,1.9398,1.9194,0.16851,0.38462,0.19105,0.05491,2.22143,3.46884,2.39758,0.00168518,0.00168518,0.00168518
161,124.634,2.07927,1.9518,2.02805,0.14174,0.30769,0.17248,0.07254,2.12271,2.96809,2.29452,0.0016832,0.0016832,0.0016832
162,125.303,1.92206,1.92903,1.85547,0.19183,0.38462,0.22489,0.08904,2.19311,2.52718,2.33336,0.00168122,0.00168122,0.00168122
163,125.98,1.90486,1.80345,1.86768,0.25536,0.38462,0.20987,0.07048,2.35262,2.32437,2.43499,0.00167924,0.00167924,0.00167924
164,126.677,1.9298,1.95495,1.93124,0.13256,0.38462,0.14609,0.04812,2.50126,2.40042,2.56301,0.00167726,0.00167726,0.00167726
165,127.406,1.98419,1.9519,1.92816,0.29445,0.38462,0.18364,0.06112,2.5708,2.59008,2.65481,0.00167528,0.00167528,0.00167528
166,128.222,2.0057,1.91071,1.93851,0.3033,0.30769,0.19285,0.07525,2.71453,2.52999,2.76397,0.0016733,0.0016733,0.0016733
167,128.842,1.97044,1.99295,1.94688,0.37792,0.30769,0.21944,0.07619,2.63283,2.3195,2.63584,0.00167132,0.00167132,0.00167132
168,129.526,1.95899,1.93061,1.8898,0.3135,0.30769,0.1917,0.05721,2.56594,2.52958,2.5572,0.00166934,0.00166934,0.00166934
169,130.168,1.9068,1.97076,1.92574,0.24054,0.61538,0.21636,0.06222,2.43259,2.54339,2.53565,0.00166736,0.00166736,0.00166736
170,130.848,1.93053,1.96169,1.92709,0.34658,0.30769,0.26907,0.08795,2.42867,2.63096,2.51257,0.00166538,0.00166538,0.00166538
171,131.536,2.03809,1.95676,1.99573,0.39209,0.30769,0.25682,0.09557,2.48325,2.703,2.5136,0.0016634,0.0016634,0.0016634
172,132.299,1.94126,1.88599,1.95366,0.25693,0.38462,0.35433,0.10151,2.3684,2.42039,2.45036,0.00166142,0.00166142,0.00166142
173,132.943,1.80499,1.78507,1.83051,0.34505,0.61538,0.34676,0.10561,2.33979,2.2441,2.43132,0.00165944,0.00165944,0.00165944
174,133.535,1.84748,1.77187,1.91655,0.23422,0.46154,0.26123,0.09443,2.34483,2.26633,2.44733,0.00165746,0.00165746,0.00165746
175,134.128,1.85844,1.79885,1.90566,0.13734,0.30769,0.12474,0.04401,2.44158,2.52919,2.49267,0.00165548,0.00165548,0.00165548
176,134.733,1.9986,1.83857,1.93866,0.22319,0.23077,0.12257,0.03851,2.64911,2.8064,2.70019,0.0016535,0.0016535,0.0016535
177,135.343,1.93147,1.83576,1.86776,0.21304,0.30769,0.17573,0.04779,2.62586,2.77254,2.67709,0.00165152,0.00165152,0.00165152
178,136.087,1.88815,1.87786,1.90272,0.25051,0.30769,0.15713,0.04261,2.49004,2.84025,2.57978,0.00164954,0.00164954,0.00164954
179,136.741,1.90892,1.85864,1.87856,0.17669,0.33082,0.13917,0.0425,2.50232,2.71224,2.56663,0.00164756,0.00164756,0.00164756
180,137.472,1.89023,1.82703,1.94689,0.2044,0.53846,0.19995,0.04681,2.62501,2.34292,2.56624,0.00164558,0.00164558,0.00164558
181,138.172,2.03101,1.84098,1.92072,0.33482,0.23077,0.23664,0.05828,2.68764,2.42386,2.6049,0.0016436,0.0016436,0.0016436
